Nom,Prix,Carburant,Modèle,CV,KM,Ville
MERCEDES Classe B,79.000 DH  VENDUE,Diesel,2008,8 cv,190.000 km,Casablanca
RENAULT Mégane Sedan,175.000 DH  VENDUE,Diesel,2019,6 cv,32.000 km,Agadir
MERCEDES Classe B,70.000 DH  VENDUE,Essence,2008,8 cv,200.000 km,Meknès
AUDI Q3 Sportback,610.000 DH  VENDUE,Diesel,2021,8 cv,44.000 km,Casablanca
AUDI Q7,89.000 DH  VENDUE,Diesel,2009,12 cv,314.000 km,Casablanca
DACIA Sandero,130.000 DH  VENDUE,Diesel,2020,6 cv,70.000 km,Oujda
MERCEDES GLA,270.000 DH  VENDUE,Diesel,2017,9 cv,100.000 km,Casablanca
RENAULT Kangoo,70.000 DH  VENDUE,Diesel,2007,6 cv,343.000 km,Casablanca
AUDI A7 Sportback,330.000 DH  VENDUE,Diesel,2017,12 cv,119.000 km,Casablanca
AUDI A5 SportBack,113.000 DH  VENDUE,Diesel,2008,12 cv,158.000 km,Rabat
PEUGEOT 208,158.000 DH  VENDUE,Diesel,2021,6 cv,480.000 km,Casablanca
NISSAN Micra,145.000 DH  VENDUE,Diesel,2020,6 cv,44.200 km,Benslimane
DACIA Sandero,159.000 DH  VENDUE,Diesel,2022,6 cv,6.500 km,Safi
BMW X3,205.000 DH  VENDUE,Diesel,2014,8 cv,179.000 km,Casablanca
NISSAN Juke,185.000 DH  VENDUE,Essence,2021,6 cv,35.000 km,Casablanca
AUDI A3 Sportback,165.000 DH  VENDUE,Essence,2011,13 cv,145.000 km,Casablanca
AUDI A8,200.000 DH  VENDUE,Diesel,2013,12 cv,173.000 km,Casablanca
MERCEDES CLA Coupé,310.000 DH  VENDUE,Diesel,2018,9 cv,86.000 km,Casablanca
BMW Série 1,405.000 DH  VENDUE,Diesel,2021,8 cv,18.000 km,Casablanca
VOLKSWAGEN Golf,480.000 DH  VENDUE,Diesel,2021,8 cv,42.000 km,Casablanca
TOYOTA Hilux,700.000 DH  VENDUE,Diesel,2022,9 cv,0 km,Casablanca
PEUGEOT 3008,295.000 DH  VENDUE,Diesel,2022,8 cv,4.349 km,Casablanca
RENAULT Clio,95.000 DH  VENDUE,Diesel,2013,6 cv,190.000 km,Tanger
RENAULT Captur,150.000 DH  VENDUE,Diesel,2018,6 cv,61.000 km,Mohammadia
FORD Mustang,360.000 DH  VENDUE,Essence,2019,13 cv,30.000 km,Casablanca
OPEL Astra,151.000 DH  VENDUE,Diesel,2015,8 cv,54.000 km,Casablanca
FORD Fiesta,145.000 DH  VENDUE,Diesel,2018,6 cv,54.181 km,Marrakech
AUDI Q5 Sportback,0 DH  VENDUE,Diesel,2022,8 cv,0 km,Casablanca
MINI 5 portes,410.000 DH  VENDUE,Essence,2022,9 cv,0 km,Casablanca
SEAT Ibiza,129.000 DH  VENDUE,Diesel,2018,6 cv,30.000 km,Casablanca
TOYOTA C-HR,180.000 DH  VENDUE,Hybride,2018,10 cv,129.000 km,Marrakech
DACIA Sandero,125.000 DH  VENDUE,Diesel,2020,6 cv,58.000 km,Meknès
FIAT 500,280.000 DH  VENDUE,Essence,2022,8 cv,5.000 km,Casablanca
LAND ROVER Range Rover Velar,600.000 DH  VENDUE,Diesel,2021,8 cv,36.000 km,Casablanca
FIAT 500,220.000 DH  VENDUE,Essence,2021,8 cv,17.000 km,Casablanca
JEEP Renegade,330.000 DH  VENDUE,Diesel,2022,6 cv,9.300 km,Casablanca
MERCEDES SL,160.000 DH  VENDUE,Essence,1998,23 cv,160.000 km,Casablanca
MERCEDES CLA Coupé,310.000 DH  VENDUE,Diesel,2018,9 cv,86.000 km,Casablanca
BMW Série 5,790.000 DH  VENDUE,Diesel,2022,8 cv,0 km,Casablanca
TOYOTA Hilux,700.000 DH  VENDUE,Diesel,2022,9 cv,0 km,Casablanca
JEEP Renegade,330.000 DH  VENDUE,Diesel,2022,6 cv,9.300 km,Casablanca
AUDI Q3,585.000 DH  VENDUE,Diesel,2022,8 cv,0 km,Casablanca
AUDI A4,560.000 DH  VENDUE,Diesel,2022,8 cv,0 km,Casablanca
BMW Série 1,405.000 DH  VENDUE,Diesel,2021,8 cv,17.000 km,Casablanca
FIAT 500,220.000 DH  VENDUE,Essence,2021,8 cv,16.000 km,Casablanca
MINI 5 portes,410.000 DH  VENDUE,Essence,2022,9 cv,0 km,Casablanca
AUDI Q5,460.000 DH  VENDUE,Diesel,2021,8 cv,47.000 km,Casablanca
BMW Série 1 Coupé,165.000 DH  VENDUE,Essence,2022,17 cv,147.000 km,Casablanca
BMW Série 1 Coupé,165.000 DH  VENDUE,Essence,2022,17 cv,147.000 km,Casablanca
PEUGEOT 3008,295.000 DH  VENDUE,Diesel,2022,8 cv,4.349 km,Casablanca
ALFA ROMEO Giulietta,170.000 DH  VENDUE,Diesel,2018,6 cv,61.000 km,Casablanca
HYUNDAI i20,138.000 DH  VENDUE,Diesel,2021,6 cv,20.000 km,Rabat
RENAULT Mégane,187.000 DH  VENDUE,Diesel,2019,6 cv,70.000 km,Casablanca
AUDI Q5,175.000 DH  VENDUE,Diesel,2011,12 cv,185.000 km,Casablanca
HYUNDAI Santa Fe,178.000 DH  VENDUE,Diesel,2016,9 cv,58.000 km,Casablanca
FORD Fusion,159.000 DH  VENDUE,Diesel,2016,8 cv,122.000 km,Casablanca
AUDI A8,200.000 DH  VENDUE,Diesel,2013,12 cv,173.000 km,Casablanca
BMW X7,1.070.000 DH  VENDUE,Diesel,2021,12 cv,87.000 km,Casablanca
HONDA CR-V,154.000 DH  VENDUE,Diesel,2014,6 cv,159.000 km,Casablanca
FORD Mustang,340.000 DH  VENDUE,Essence,2018,13 cv,74.000 km,Meknès
FORD Focus,120.000 DH  VENDUE,Diesel,2012,6 cv,158.000 km,Tanger
FIAT Uno,30.000 DH  VENDUE,Diesel,1997,7 cv,118.000 km,Fès
AUDI A3 Berline,200.000 DH  VENDUE,Diesel,2014,8 cv,200.000 km,Tétouan
AUDI A3,234.000 DH  VENDUE,Diesel,2015,8 cv,189.000 km,Meknès
VOLKSWAGEN Passat,129.000 DH  VENDUE,Diesel,2012,8 cv,165.000 km,Casablanca
SEAT Ibiza,105.000 DH  VENDUE,Essence,2017,6 cv,43.200 km,Temara
SKODA Fabia,91.000 DH  VENDUE,Essence,2016,7 cv,82.000 km,Rabat
RENAULT Captur,147.000 DH  VENDUE,Diesel,2019,6 cv,19.900 km,Mohammadia
AUDI Q3,270.000 DH  VENDUE,Diesel,2017,8 cv,85.000 km,Rabat
FORD Focus,157.000 DH  VENDUE,Diesel,2018,6 cv,76.000 km,Casablanca
RENAULT Clio,90.000 DH  VENDUE,Essence,2017,7 cv,135.000 km,Rabat
FORD Focus Sedan,115.000 DH  VENDUE,Diesel,2012,6 cv,206.000 km,Rabat
BMW Série 1 Coupé,108.000 DH  VENDUE,Diesel,2011,8 cv,186.000 km,Rabat
AUDI Q8,749.000 DH  VENDUE,Diesel,2019,12 cv,60.000 km,Casablanca
VOLKSWAGEN Golf,215.000 DH  VENDUE,Diesel,2019,8 cv,57.000 km,Casablanca
PORSCHE Macan,1.140.000 DH  VENDUE,Essence,2022,11 cv,0 km,Casablanca
FIAT 500,280.000 DH  VENDUE,Essence,2022,8 cv,5.000 km,Casablanca
HYUNDAI i20,133.500 DH  VENDUE,Essence,2019,7 cv,5.400 km,Rabat
PEUGEOT 308,175.000 DH  VENDUE,Diesel,2020,6 cv,82.088 km,Rabat
MERCEDES Classe A,255.000 DH  VENDUE,Diesel,2017,9 cv,70.000 km,Rabat
FORD Kuga,210.000 DH  VENDUE,Diesel,2020,6 cv,56.000 km,Casablanca
VOLKSWAGEN Golf,195.000 DH  VENDUE,Diesel,2018,6 cv,112.000 km,Casablanca
VOLKSWAGEN Touareg,255.000 DH  VENDUE,Diesel,2016,12 cv,64.850 km,Casablanca
MERCEDES Classe C,850.000 DH  VENDUE,Diesel,2022,8 cv,0 km,Casablanca
VOLKSWAGEN Golf,165.000 DH  VENDUE,Diesel,2018,8 cv,170.000 km,Casablanca
HYUNDAI Accent,165.000 DH  VENDUE,Diesel,2020,6 cv,32.000 km,Casablanca
VOLKSWAGEN Golf,178.000 DH  VENDUE,Diesel,2018,8 cv,74.000 km,Casablanca
MERCEDES Classe A,225.000 DH  VENDUE,Diesel,2017,6 cv,65.000 km,Fès
TOYOTA Yaris,104.000 DH  VENDUE,Essence,2019,6 cv,96.000 km,Rabat
JAGUAR XE,287.000 DH  VENDUE,Diesel,2018,8 cv,68.000 km,Casablanca
FORD Kuga,180.000 DH  VENDUE,Diesel,2018,8 cv,125.000 km,Casablanca
DACIA Logan,46.000 DH  VENDUE,Essence,2007,8 cv,357.000 km,Casablanca
PEUGEOT 3008,250.000 DH  VENDUE,Diesel,2019,8 cv,30.000 km,Agadir
PEUGEOT 208,175.000 DH  VENDUE,Diesel,2021,6 cv,18.000 km,El Jadida
VOLKSWAGEN Touareg,225.000 DH  VENDUE,Diesel,2018,12 cv,112.000 km,Marrakech
AUDI A4,205.000 DH  VENDUE,Diesel,2015,8 cv,150.000 km,Temara
VOLKSWAGEN Polo Sedan,47.000 DH  VENDUE,Diesel,2005,6 cv,200.000 km,Marrakech
VOLKSWAGEN Touareg,350.000 DH  VENDUE,Diesel,2021,12 cv,52.000 km,Casablanca
RENAULT Mégane,148.000 DH  VENDUE,Diesel,2017,6 cv,75.000 km,Casablanca
FIAT 500,175.000 DH  VENDUE,Essence,2021,7 cv,14.000 km,Casablanca
FORD S-Max,185.000 DH  VENDUE,Diesel,2017,8 cv,91.000 km,Casablanca
BMW Série 1,190.000 DH  VENDUE,Diesel,2017,6 cv,34.800 km,Casablanca
LAND ROVER Range Rover Velar,460.000 DH  VENDUE,Diesel,2017,8 cv,65.000 km,Marrakech
KIA Carens,57.000 DH  VENDUE,Diesel,2008,8 cv,250.000 km,Tétouan
HONDA HR-V,220.000 DH  VENDUE,Diesel,2019,6 cv,54.000 km,Casablanca
AUDI A1,320.000 DH  VENDUE,Essence,2021,9 cv,26.000 km,Casablanca
KIA Sportage,130.000 DH  VENDUE,Diesel,2015,6 cv,190.000 km,Mohammadia
RENAULT Clio,28.000 DH  VENDUE,Essence,1997,7 cv,200.000 km,Temara
VOLKSWAGEN Arteon,320.000 DH  VENDUE,Diesel,2019,8 cv,25.000 km,Rabat
VOLKSWAGEN Golf,205.000 DH  VENDUE,Diesel,2019,8 cv,79.000 km,Casablanca
OPEL Astra,163.000 DH  VENDUE,Diesel,2019,6 cv,129.500 km,Casablanca
BMW Série 5,260.000 DH  VENDUE,Diesel,2017,8 cv,167.000 km,Casablanca
CITROEN C3,116.000 DH  VENDUE,Essence,2017,7 cv,20.000 km,Kénitra
TOYOTA Corolla Berline,164.000 DH  VENDUE,Diesel,2018,6 cv,100.000 km,Rabat
HYUNDAI Tucson,270.000 DH  VENDUE,Diesel,2018,7 cv,101.000 km,Rabat
SEAT Leon,83.000 DH  VENDUE,Diesel,2007,8 cv,138.000 km,Beni Mellal
VOLVO C30,70.000 DH  VENDUE,Diesel,2012,cv,110.000 km,Rabat
NISSAN Juke,182.000 DH  VENDUE,Diesel,2018,6 cv,19.000 km,Casablanca
MERCEDES Classe B,160.000 DH  VENDUE,Diesel,2013,7 cv,159.432 km,Casablanca
VOLKSWAGEN Passat,280.000 DH  VENDUE,Diesel,2018,8 cv,60.000 km,Casablanca
PEUGEOT Partner,61.000 DH  VENDUE,Diesel,2009,7 cv,150.000 km,Skhirate
RENAULT Clio,164.000 DH  VENDUE,Diesel,2021,7 cv,47.000 km,Rabat
PEUGEOT 3008,310.000 DH  VENDUE,,2022,8 cv,2.000 km,Casablanca
MERCEDES Classe E,160.000 DH  VENDUE,Essence,2009,17 cv,60.000 km,Casablanca
PEUGEOT 208,150.000 DH  VENDUE,Diesel,2022,6 cv,3.500 km,Kénitra
MERCEDES Classe E,106.000 DH  VENDUE,Diesel,2007,13 cv,320.000 km,Tétouan
VOLKSWAGEN Bora,54.000 DH  VENDUE,Diesel,2002,8 cv,300.000 km,Agadir
JEEP Compass,273.000 DH  VENDUE,Diesel,2021,7 cv,18.000 km,Casablanca
DACIA Dokker,127.000 DH  VENDUE,Diesel,2021,6 cv,20.000 km,Marrakech
DFSK Glory IX5,270.000 DH  VENDUE,Essence,2021,9 cv,7.000 km,Casablanca
HYUNDAI Tucson,85.000 DH  VENDUE,Diesel,2009,8 cv,200.000 km,Tanger
RENAULT Clio,121.000 DH  VENDUE,Diesel,2016,6 cv,57.000 km,Casablanca
ALFA ROMEO MiTo,90.000 DH  VENDUE,Diesel,2013,6 cv,37.800 km,Casablanca
OPEL Adam,112.000 DH  VENDUE,Essence,2018,7 cv,25.000 km,Casablanca
VOLKSWAGEN Tiguan,260.000 DH  VENDUE,Diesel,2017,8 cv,120.000 km,Casablanca
BMW Série 3,208.000 DH  VENDUE,Diesel,2014,8 cv,118.000 km,Kénitra
HYUNDAI i30,90.000 DH  VENDUE,Diesel,2010,6 cv,149.000 km,Fès
FORD Focus,97.000 DH  VENDUE,Diesel,2014,6 cv,290.000 km,Tétouan
VOLKSWAGEN Caddy,163.000 DH  VENDUE,Diesel,2020,8 cv,120.000 km,Casablanca
FORD Focus,83.000 DH  VENDUE,Diesel,2011,7 cv,170.500 km,Casablanca
VOLKSWAGEN CC,175.000 DH  VENDUE,Diesel,2017,8 cv,180.000 km,Temara
FORD Transit,265.000 DH  VENDUE,Diesel,2021,cv,23.176 km,Casablanca
MERCEDES Classe E,52.000 DH  VENDUE,Diesel,2003,11 cv,270.000 km,Kénitra
DACIA Logan,93.000 DH  VENDUE,Diesel,2017,6 cv,93.000 km,Casablanca
CHEVROLET Cruze,120.000 DH  VENDUE,Diesel,2014,8 cv,115.000 km,Casablanca
KIA Ceed,120.000 DH  VENDUE,Diesel,2015,7 cv,49.000 km,Marrakech
FIAT Albea,48.000 DH  VENDUE,Essence,2009,8 cv,200.000 km,Tétouan
AUDI Q5,430.000 DH  VENDUE,Diesel,2018,8 cv,93.000 km,Agadir
PEUGEOT 208,128.000 DH  VENDUE,Diesel,2017,6 cv,81.000 km,Casablanca
JAGUAR XJ,170.000 DH  VENDUE,Diesel,2012,12 cv,119.000 km,Rabat
OPEL Astra,88.000 DH  VENDUE,Diesel,2011,6 cv,170.000 km,Casablanca
CHEVROLET Cruze,65.000 DH  VENDUE,Diesel,2010,8 cv,160.000 km,Rabat
VOLKSWAGEN Tiguan,207.000 DH  VENDUE,Diesel,2015,8 cv,134.000 km,Casablanca
FIAT 500,152.000 DH  VENDUE,Essence,2020,7 cv,10.000 km,Casablanca
RENAULT Mégane,139.000 DH  VENDUE,Diesel,2018,6 cv,110.000 km,Kénitra
FIAT 500,79.000 DH  VENDUE,Diesel,2014,7 cv,180.000 km,Casablanca
VOLKSWAGEN Passat,88.000 DH  VENDUE,Diesel,2007,8 cv,255.700 km,Agadir
BMW Série 3,220.000 DH  VENDUE,Diesel,2015,8 cv,108.000 km,Agadir
FORD Kuga,190.000 DH  VENDUE,Diesel,2017,8 cv,100.000 km,Rabat
PEUGEOT 3008,330.000 DH  VENDUE,Diesel,2021,8 cv,22.000 km,Rabat
NISSAN Juke,230.000 DH  VENDUE,Essence,2021,6 cv,4.000 km,Salé
VOLKSWAGEN CC,219.000 DH  VENDUE,Diesel,2017,8 cv,111.000 km,Casablanca
OPEL Astra,95.000 DH  VENDUE,Diesel,2011,7 cv,176.800 km,Casablanca
VOLKSWAGEN Passat,130.000 DH  VENDUE,Diesel,2012,8 cv,106.000 km,Casablanca
HONDA Accord,60.000 DH  VENDUE,Essence,2009,9 cv,190.000 km,Rabat
HONDA Accord,78.000 DH  VENDUE,Essence,2008,11 cv,157.000 km,Rabat
DACIA Dokker,98.000 DH  VENDUE,Diesel,2018,6 cv,320.000 km,Casablanca
DACIA Dokker,95.000 DH  VENDUE,Diesel,2017,6 cv,180.000 km,Casablanca
RENAULT Mégane,95.000 DH  VENDUE,Diesel,2009,7 cv,132.000 km,Casablanca
LAND ROVER Range Rover Evoque,355.000 DH  VENDUE,Diesel,2017,9 cv,70.000 km,Rabat
MERCEDES GLC,450.000 DH  VENDUE,Diesel,2019,9 cv,14.000 km,Casablanca
FORD Kuga,290.000 DH  VENDUE,Diesel,2021,6 cv,11.177 km,Casablanca
VOLKSWAGEN Touareg,800.000 DH  VENDUE,Diesel,2022,12 cv,22.000 km,Agadir
DACIA Sandero,89.000 DH  VENDUE,Essence,2018,7 cv,13.100 km,Casablanca
VOLKSWAGEN Fox,49.000 DH  VENDUE,Essence,2006,6 cv,148.000 km,Temara
KIA Carens,152.000 DH  VENDUE,Diesel,2018,6 cv,107.000 km,Casablanca
LAND ROVER Range Rover,355.000 DH  VENDUE,Diesel,2015,12 cv,138.000 km,Casablanca
HYUNDAI Accent,90.000 DH  VENDUE,Diesel,2020,6 cv,24.000 km,Oujda
VOLKSWAGEN Golf,420.000 DH  VENDUE,Diesel,2021,8 cv,18.000 km,Casablanca
KIA Picanto,124.500 DH  VENDUE,Essence,2022,6 cv,4.000 km,Salé
HONDA CR-V,190.000 DH  VENDUE,Diesel,2017,6 cv,93.000 km,Casablanca
SKODA Karoq,310.000 DH  VENDUE,Diesel,2021,8 cv,40.000 km,Kénitra
KIA Sportage,285.000 DH  VENDUE,Diesel,2020,8 cv,40.500 km,Casablanca
AUDI A4,166.000 DH  VENDUE,Diesel,2012,8 cv,169.500 km,Rabat
SEAT Leon,230.000 DH  VENDUE,Diesel,2020,8 cv,56.000 km,Salé
VOLVO S60,210.000 DH  VENDUE,Diesel,2018,8 cv,80.000 km,Marrakech
BMW X1,165.000 DH  VENDUE,Diesel,2010,8 cv,250.000 km,Rabat
VOLVO XC60,190.000 DH  VENDUE,Diesel,2015,8 cv,176.000 km,Casablanca
BMW Série 4 Gran Coupé,290.000 DH  VENDUE,Diesel,2016,8 cv,160.000 km,Rabat
VOLKSWAGEN Touareg,400.000 DH  VENDUE,Diesel,2019,12 cv,54.000 km,Casablanca
FORD Fiesta,109.000 DH  VENDUE,Diesel,2015,6 cv,109.000 km,Casablanca
DACIA Duster,95.000 DH  VENDUE,Diesel,2012,6 cv,167.000 km,Casablanca
HYUNDAI ix35,130.000 DH  VENDUE,Diesel,2012,8 cv,154.000 km,Agadir
FORD Focus,107.000 DH  VENDUE,Diesel,2012,6 cv,194.000 km,Agadir
BMW Série 3,225.000 DH  VENDUE,Diesel,2014,8 cv,117.000 km,Kénitra
BMW Série 3,110.000 DH  VENDUE,Essence,2011,11 cv,99.100 km,Casablanca
BMW Série 3,370.000 DH  VENDUE,Diesel,2020,8 cv,85.000 km,Casablanca
OPEL Corsa,43.000 DH  VENDUE,Essence,2004,6 cv,227.000 km,Casablanca
CITROEN C4 Cactus,130.000 DH  VENDUE,Diesel,2015,6 cv,91.000 km,Rabat
FORD Kuga,155.000 DH  VENDUE,Diesel,2015,6 cv,102.000 km,Agadir
DACIA Logan,63.000 DH  VENDUE,Diesel,2008,6 cv,230.000 km,Beni Mellal
HYUNDAI Accent,138.000 DH  VENDUE,Diesel,2020,6 cv,86.000 km,Marrakech
CITROEN C3,100.000 DH  VENDUE,Diesel,2019,6 cv,76.000 km,Casablanca
LAND ROVER Range Rover Evoque,325.000 DH  VENDUE,Diesel,2018,8 cv,75.000 km,El Jadida
NISSAN Micra,140.000 DH  VENDUE,Diesel,2018,6 cv,72.000 km,El Jadida
TOYOTA RAV 4,130.000 DH  VENDUE,Diesel,2012,9 cv,120.000 km,Fès
LAND ROVER Range Rover Evoque,274.000 DH  VENDUE,Diesel,2016,8 cv,104.000 km,Mohammadia
SEAT Leon,165.000 DH  VENDUE,Diesel,2016,6 cv,87.000 km,Marrakech
HYUNDAI Tucson,305.000 DH  VENDUE,Diesel,2020,6 cv,50.000 km,Mohammadia
NISSAN Qashqai,198.000 DH  VENDUE,Diesel,2018,6 cv,75.000 km,Rabat
AUDI Q5,190.000 DH  VENDUE,Diesel,2011,12 cv,180.000 km,Marrakech
SEAT Ibiza,115.000 DH  VENDUE,Diesel,2017,6 cv,54.500 km,Casablanca
MERCEDES Classe E Coupé,540.000 DH  VENDUE,Diesel,2018,8 cv,82.000 km,Rabat
KIA Sorento,200.000 DH  VENDUE,Diesel,2015,9 cv,152.000 km,Casablanca
KIA Carens,52.000 DH  VENDUE,Diesel,2005,8 cv,270.000 km,Casablanca
JEEP Grand Cherokee,95.000 DH  VENDUE,Diesel,2010,12 cv,142.000 km,Casablanca
RENAULT Koleos,300.000 DH  VENDUE,Diesel,2020,8 cv,45.000 km,Casablanca
FORD Fiesta,112.000 DH  VENDUE,Diesel,2017,6 cv,36.090 km,Agadir
CITROEN C4,105.000 DH  VENDUE,Diesel,2014,6 cv,122.000 km,Casablanca
HYUNDAI i20,69.000 DH  VENDUE,Essence,2013,7 cv,149.000 km,Casablanca
AUDI A4,129.000 DH  VENDUE,Diesel,2008,8 cv,219.000 km,Rabat
HONDA CR-V,145.000 DH  VENDUE,Diesel,2013,8 cv,122.000 km,Casablanca
MERCEDES CLS Coupé,480.000 DH  VENDUE,Essence,2011,42 cv,77.000 km,Casablanca
AUDI Q7,590.000 DH  VENDUE,Diesel,2017,16 cv,105.000 km,Rabat
VOLKSWAGEN Touareg,440.000 DH  VENDUE,Diesel,2019,12 cv,94.000 km,Rabat
RENAULT Mégane,105.000 DH  VENDUE,Diesel,2013,6 cv,190.000 km,Khouribga
HYUNDAI Tucson,264.000 DH  VENDUE,Diesel,2017,8 cv,72.000 km,Casablanca
HYUNDAI Tucson,264.000 DH  VENDUE,Diesel,2017,8 cv,72.000 km,Casablanca
LAND ROVER Range Rover,830.000 DH  VENDUE,Diesel,2018,12 cv,97.000 km,Casablanca
RENAULT Trafic,210.000 DH  VENDUE,Diesel,2019,9 cv,40.000 km,Casablanca
VOLKSWAGEN Touareg,250.000 DH  VENDUE,Diesel,2016,12 cv,65.000 km,Casablanca
DACIA Logan,98.000 DH  VENDUE,Diesel,2018,6 cv,72.951 km,Casablanca
FORD EcoSport,178.000 DH  VENDUE,Diesel,2015,6 cv,153.000 km,Khouribga
HYUNDAI i20,180.000 DH  VENDUE,Essence,2022,8 cv,1.700 km,Marrakech
NISSAN Micra,125.000 DH  VENDUE,Diesel,2018,6 cv,30.700 km,Rabat
FORD Focus,140.000 DH  VENDUE,Diesel,2016,8 cv,95.000 km,Tanger
FORD Focus,140.000 DH  VENDUE,Diesel,2016,8 cv,95.000 km,Tanger
NISSAN Qashqai,205.000 DH  VENDUE,Diesel,2018,6 cv,74.000 km,Rabat
PEUGEOT Partner Tepee,113.000 DH  VENDUE,Diesel,2018,6 cv,138.000 km,Rabat
VOLKSWAGEN Jetta,155.000 DH  VENDUE,Diesel,2018,8 cv,138.000 km,Rabat
PEUGEOT 3008,122.000 DH  VENDUE,Diesel,2014,6 cv,117.500 km,Rabat
BMW Série 5,330.000 DH  VENDUE,Diesel,2017,8 cv,80.000 km,Casablanca
MERCEDES Classe E,240.000 DH  VENDUE,Diesel,2012,9 cv,400.000 km,Casablanca
FIAT Siena,38.000 DH  VENDUE,Diesel,2003,6 cv,166.500 km,Casablanca
MINI 3 portes,100.000 DH  VENDUE,Essence,2012,9 cv,127.000 km,Rabat
MERCEDES Classe C,210.000 DH  VENDUE,Diesel,2017,6 cv,187.000 km,Casablanca
MITSUBISHI Pajero Sport,120.000 DH  VENDUE,Diesel,2010,10 cv,230.000 km,Casablanca
FORD Kuga,169.000 DH  VENDUE,Diesel,2016,8 cv,149.000 km,Kénitra
FIAT Panda,76.000 DH  VENDUE,Essence,2019,7 cv,68.000 km,Casablanca
VOLKSWAGEN Caddy,110.000 DH  VENDUE,Diesel,2007,8 cv,270.000 km,Agadir
MINI Cabrio,210.000 DH  VENDUE,Essence,2017,7 cv,108.914 km,Casablanca
SEAT Leon,165.000 DH  VENDUE,Diesel,2017,6 cv,54.230 km,Casablanca
OPEL Grandland,230.000 DH  VENDUE,Diesel,2021,6 cv,70.000 km,Marrakech
FORD C-Max,105.000 DH  VENDUE,Diesel,2013,6 cv,161.000 km,Marrakech
OPEL Mokka,250.000 DH  VENDUE,Diesel,2022,6 cv,950 km,Meknès
AUDI A4,175.000 DH  VENDUE,Diesel,2014,8 cv,120.000 km,Rabat
PEUGEOT 3008,205.000 DH  VENDUE,Diesel,2018,8 cv,51.000 km,Rabat
LAND ROVER Range Rover Evoque,405.000 DH  VENDUE,Diesel,2019,8 cv,61.000 km,Casablanca
DACIA Sandero,61.000 DH  VENDUE,Diesel,2009,6 cv,230.000 km,Casablanca
HYUNDAI i10,59.000 DH  VENDUE,Essence,2015,7 cv,98.500 km,Rabat
NISSAN Micra,130.000 DH  VENDUE,Diesel,2018,6 cv,30.600 km,Rabat
VOLKSWAGEN CC,265.000 DH  VENDUE,Diesel,2019,8 cv,70.000 km,Casablanca
NISSAN Qashqai,155.000 DH  VENDUE,Diesel,2014,6 cv,220.200 km,Casablanca
DACIA Duster,138.000 DH  VENDUE,Diesel,2016,6 cv,48.900 km,Casablanca
DACIA Duster,120.000 DH  VENDUE,Diesel,2016,6 cv,167.000 km,Casablanca
RENAULT Clio,92.000 DH  VENDUE,Essence,2017,6 cv,76.000 km,Tanger
TOYOTA Yaris,130.000 DH  VENDUE,Essence,2022,6 cv,4.700 km,Rabat
PEUGEOT 206,71.000 DH  VENDUE,Diesel,2010,6 cv,178.500 km,Casablanca
FORD Fiesta,82.000 DH  VENDUE,Essence,2016,7 cv,112.000 km,Kelaat Sraghna
BMW X5,280.000 DH  VENDUE,Diesel,2014,12 cv,220.000 km,Casablanca
RENAULT Kangoo,85.000 DH  VENDUE,Diesel,2014,6 cv,168.000 km,Benslimane
TOYOTA Hilux,240.000 DH  VENDUE,Diesel,2021,10 cv,25.000 km,Beni Mellal
CHEVROLET Spark,40.000 DH  VENDUE,Essence,2008,5 cv,123.000 km,Marrakech
PEUGEOT 307,67.000 DH  VENDUE,Diesel,2006,cv,230.000 km,Casablanca
SKODA Kamiq,198.000 DH  VENDUE,Diesel,2020,8 cv,6.400 km,Casablanca
HONDA Accord,64.000 DH  VENDUE,Essence,2007,11 cv,250.000 km,Casablanca
VOLKSWAGEN Touareg,120.000 DH  VENDUE,Diesel,2008,12 cv,126.000 km,Casablanca
LAND ROVER Range Rover,500.000 DH  VENDUE,Diesel,2016,12 cv,117.000 km,Casablanca
JEEP Grand Cherokee,153.000 DH  VENDUE,Diesel,2014,12 cv,157.000 km,Casablanca
MERCEDES Classe E,80.000 DH  VENDUE,Diesel,1997,9 cv,250.000 km,Salé
HYUNDAI i30,152.000 DH  VENDUE,Diesel,2016,cv,164.000 km,Casablanca
BMW Série 3,165.000 DH  VENDUE,Diesel,2011,8 cv,185.000 km,Mohammadia
VOLKSWAGEN Passat,125.000 DH  VENDUE,Diesel,2013,8 cv,284.266 km,Marrakech
MERCEDES Classe G,720.000 DH  VENDUE,Diesel,2017,12 cv,110.000 km,Casablanca
BMW X5,120.000 DH  VENDUE,Diesel,2007,12 cv,212.000 km,Tanger
SKODA Superb,110.000 DH  VENDUE,Diesel,2012,8 cv,213.000 km,Marrakech
FORD Focus,119.000 DH  VENDUE,Diesel,2012,6 cv,185.000 km,Rabat
FORD Kuga,180.000 DH  VENDUE,Diesel,2018,8 cv,150.000 km,Agadir
MITSUBISHI Lancer,40.000 DH  VENDUE,Essence,2007,7 cv,200.110 km,Casablanca
MERCEDES Classe A,650.000 DH  VENDUE,Essence,2019,14 cv,23.000 km,Marrakech
DACIA Duster,170.000 DH  VENDUE,Diesel,2019,6 cv,45.000 km,Meknès
PEUGEOT 206,59.000 DH  VENDUE,Essence,2010,6 cv,102.329 km,Casablanca
JEEP Renegade,193.000 DH  VENDUE,Diesel,2017,6 cv,60.000 km,Casablanca
